year,state,month,avg_wind_speed_mph,avg_rainfall_in,max_temperature_f,palmer_hydrological_drought_index,avg_humidity_pct
1992,AK,1,9.9,0.74,20.9,1.9,78
1992,AK,2,11.3,0.46,23.9,-2.54,81
1992,AK,3,10.7,0.63,27.2,-1.76,69
1992,AK,4,9.8,0.53,49.2,1.23,71
1992,AK,5,9.1,0.94,59.9,-0.09,71
1992,AK,6,8.0,1.52,68.7,2.79,65
1992,AK,7,7.9,2.9,68.3,-1.87,69
1992,AK,8,8.3,1.47,69.4,-1.64,74
1992,AK,9,9.9,3.98,49.8,-2.62,81
1992,AK,10,11.2,1.01,42.5,-1.63,79
1992,AK,11,9.2,1.69,30.2,-2.06,73
1992,AK,12,10.3,0.71,19.0,1.99,74
1993,AK,1,10.7,0.9,21.9,-0.97,77
1993,AK,2,9.0,0.41,21.1,-1.9,78
1993,AK,3,10.7,0.55,37.0,0.56,76
1993,AK,4,9.9,0.44,40.3,1.03,76
1993,AK,5,9.2,0.79,61.5,-2.19,75
1993,AK,6,10.2,1.86,57.9,-1.74,75
1993,AK,7,7.3,1.25,60.2,-2.08,65
1993,AK,8,9.6,1.54,59.8,0.62,69
1993,AK,9,10.6,1.61,50.3,0.67,76
1993,AK,10,9.5,2.18,35.9,-1.1,81
1993,AK,11,11.1,1.17,24.5,0.62,74
1993,AK,12,10.5,1.03,22.5,0.73,87
1994,AK,1,9.5,0.58,15.5,0.13,78
1994,AK,2,9.5,0.61,27.3,-2.57,83
1994,AK,3,11.4,0.37,31.7,1.68,68
1994,AK,4,11.0,0.59,44.6,-1.02,74
1994,AK,5,9.2,0.85,61.8,1.47,75
1994,AK,6,9.6,1.95,66.8,-0.15,73
1994,AK,7,7.8,1.46,60.5,0.6,65
1994,AK,8,8.9,1.33,67.4,0.74,80
1994,AK,9,8.0,3.3,50.5,0.04,77
1994,AK,10,8.8,1.06,35.0,1.42,86
1994,AK,11,10.3,1.79,29.6,-2.02,82
1994,AK,12,9.2,0.92,20.7,0.2,77
1995,AK,1,8.6,0.82,22.2,0.93,72
1995,AK,2,9.8,0.53,29.1,-1.53,83
1995,AK,3,9.3,0.61,35.6,-0.48,74
1995,AK,4,9.8,0.49,44.2,-1.66,71
1995,AK,5,9.5,0.75,61.5,1.07,64
1995,AK,6,10.4,0.71,61.7,1.36,74
1995,AK,7,8.2,2.28,60.4,2.14,65
1995,AK,8,8.5,1.77,63.7,1.1,75
1995,AK,9,8.6,2.76,57.4,1.77,73
1995,AK,10,9.9,1.31,39.7,1.77,81
1995,AK,11,11.5,1.07,30.8,-2.36,88
1995,AK,12,8.5,0.73,26.1,1.67,78
1996,AK,1,9.1,1.27,22.4,-2.5,79
1996,AK,2,8.8,0.78,24.8,0.51,69
1996,AK,3,9.7,0.71,33.3,0.96,69
1996,AK,4,9.3,0.76,45.3,1.01,66
1996,AK,5,11.0,0.82,56.3,2.53,64
1996,AK,6,7.9,1.38,57.8,1.17,69
1996,AK,7,8.3,2.78,68.8,1.0,76
1996,AK,8,7.8,2.85,59.0,-1.56,73
1996,AK,9,10.7,3.32,57.6,0.86,75
1996,AK,10,9.4,2.04,38.3,-0.58,84
1996,AK,11,11.6,1.75,30.8,1.98,81
1996,AK,12,8.6,0.93,19.3,-0.97,73
1997,AK,1,8.9,0.89,16.6,-0.11,85
1997,AK,2,10.5,0.79,31.8,-2.61,73
1997,AK,3,9.2,0.89,29.6,0.91,81
1997,AK,4,11.6,0.74,47.3,2.08,66
1997,AK,5,11.0,0.5,61.1,2.08,62
1997,AK,6,10.0,1.86,69.1,-1.14,64
1997,AK,7,9.6,1.48,66.5,0.26,67
1997,AK,8,9.8,3.05,67.0,0.08,73
1997,AK,9,8.0,1.49,56.0,-2.13,74
1997,AK,10,9.7,1.27,34.4,0.33,76
1997,AK,11,9.4,1.78,32.8,-2.72,83
1997,AK,12,9.9,0.68,26.2,-2.12,81
1998,AK,1,8.2,1.17,20.7,0.77,72
1998,AK,2,8.7,0.89,25.7,0.74,75
1998,AK,3,9.0,0.55,30.8,1.22,76
1998,AK,4,11.1,0.54,43.3,-1.81,70
1998,AK,5,9.1,1.1,54.2,0.36,69
1998,AK,6,9.7,1.53,66.3,-2.15,64
1998,AK,7,10.1,1.91,71.9,-2.22,69
1998,AK,8,9.8,2.26,59.6,1.36,76
1998,AK,9,9.1,1.78,59.2,2.25,81
1998,AK,10,8.8,1.34,41.6,1.21,72
1998,AK,11,9.3,1.5,30.4,0.05,77
